date,product,quantity,price
2024-02-01,A,1,100
2024-02-02,C,4,150
2024-02-03,B,4,200
2024-02-04,A,5,100
2024-02-05,A,5,100
2024-02-06,C,4,150
2024-02-07,B,4,200
2024-02-08,C,3,150
2024-02-09,A,4,100
2024-02-10,B,1,200
2024-02-11,C,5,150
2024-02-12,A,4,100
2024-02-13,C,2,150
2024-02-14,C,4,150
2024-02-15,B,4,200
2024-02-16,C,1,150
2024-02-17,B,5,200
2024-02-18,B,4,200
2024-02-19,A,4,100
2024-02-20,C,1,150
2024-02-21,A,2,100
2024-02-22,C,5,150
2024-02-23,A,2,100
2024-02-24,A,2,100
2024-02-25,C,5,150
2024-02-26,B,4,200
2024-02-27,B,3,200
2024-02-28,B,2,200
2024-02-29,B,4,200
