date,product,quantity,price
2024-01-01,B,5,200
2024-01-02,C,5,150
2024-01-03,C,4,150
2024-01-04,B,3,200
2024-01-05,B,1,200
2024-01-06,A,3,100
2024-01-07,B,2,200
2024-01-08,A,4,100
2024-01-09,A,3,100
2024-01-10,A,3,100
2024-01-11,C,3,150
2024-01-12,C,3,150
2024-01-13,C,2,150
2024-01-14,C,5,150
2024-01-15,A,5,100
2024-01-16,B,3,200
2024-01-17,C,3,150
2024-01-18,C,5,150
2024-01-19,A,4,100
2024-01-20,B,1,200
2024-01-21,C,3,150
2024-01-22,C,4,150
2024-01-23,C,5,150
2024-01-24,A,3,100
2024-01-25,B,4,200
2024-01-26,A,4,100
2024-01-27,A,3,100
2024-01-28,B,5,200
2024-01-29,A,3,100
2024-01-30,C,2,150
2024-01-31,C,4,150
