date,product,quantity,price
2024-03-01,A,5,100
2024-03-02,A,4,100
2024-03-03,A,5,100
2024-03-04,B,2,200
2024-03-05,B,2,200
2024-03-06,C,1,150
2024-03-07,A,3,100
2024-03-08,B,5,200
2024-03-09,C,3,150
2024-03-10,B,1,200
2024-03-11,C,5,150
2024-03-12,C,2,150
2024-03-13,A,3,100
2024-03-14,C,2,150
2024-03-15,B,2,200
2024-03-16,A,3,100
2024-03-17,C,5,150
2024-03-18,A,3,100
2024-03-19,A,4,100
2024-03-20,C,5,150
2024-03-21,B,1,200
2024-03-22,A,4,100
2024-03-23,C,1,150
2024-03-24,C,4,150
2024-03-25,C,5,150
2024-03-26,A,1,100
2024-03-27,A,5,100
2024-03-28,B,2,200
2024-03-29,C,4,150
2024-03-30,A,2,100
2024-03-30,A,4,100
